STOCK_CODE,TOTAL_STOCK,INCOMING_QTY_AVAILABLE,DUE_DATE,DISCONTINUED
871-CHAR-280X190,11,16,21/08/2018,
871-CHAR-300X80,16,15,25/10/2018,
871-CHAR-320X230,13,14,21/08/2018,
871-CHAR-400X80,28,0,,
871-CHAR-500X80,0,0,,
871-CHAR-600X80,0,0,,
871-CHOC-165X115,7,0,,
871-CHOC-190X190,0,0,,
871-CHOC-225X155,16,0,,
871-CHOC-280X190,3,0,,
871-CHOC-300X80,7,0,,
871-CHOC-320X230,9,0,,
871-CHOC-400X80,9,0,,
871-CHOC-OLD-165X115,0,0,,
871-CHOC-OLD-225X155,4,0,,
871-CHOC-OLD-280X190,1,0,,
871-EGG-350X350,0,0,,
871-EGGPLANT-165X115,2,8,25/10/2018,
871-EGGPLANT-225X155,3,10,25/10/2018,
871-EGGPLANT-280X190,3,6,25/10/2018,
871-EGGPLANT-300X80,5,0,,
871-EGGPLANT-320X230,1,4,25/10/2018,
871-EGGPLANT-400X80,10,0,,
871-GREEN-165X115,0,0,,
871-GREEN-225X155,0,0,,
871-GREEN-280X190,0,0,,
871-GREY-165X115,12,0,,
871-GREY-225X155,39,0,,
871-GREY-280X190,11,16,25/10/2018,
871-GREY-300X80,4,16,25/10/2018,
871-GREY-320X230,14,8,25/10/2018,
871-GREY-400X80,0,25,21/08/2018,
871-LATTE-150X80,0,0,,
871-LATTE-165X115,8,12,25/10/2018,
871-LATTE-225X155,0,29,21/08/2018,
871-LATTE-280X190,8,8,25/10/2018,
871-LATTE-300X80,2,11,21/08/2018,
871-LATTE-320X230,0,15,21/08/2018,
871-LATTE-400X300,0,0,,
871-LATTE-400X80,8,12,21/08/2018,
871-LATTE-450X80,0,0,,Y
871-LATTE-500X80,0,0,,Y
871-LATTE-550X80,0,0,,Y
871-LATTE-600X80,0,0,,Y
871-MOUSEG-170X120,0,0,,Y
871-MOUSEG-230X160,0,0,,Y
871-MOUSEG-290X200,0,0,,Y
871-MUSH-170X120,0,0,,Y
871-MUSH-190X190,0,0,,Y
871-MUSH-230X160,0,0,,Y
871-MUSH-263X225,0,0,,Y
871-MUSH-263X22563,0,0,,Y
871-MUSH-263X22573,0,0,,Y
871-MUSH-280X190,0,0,,Y
871-MUSH-300X80,0,0,,Y
871-MUSH-320X230,0,0,,Y
871-MUSH-400X80,0,0,,Y
871-NATRUAL-400X80,0,0,,Y
871-NATURAL-170X120,0,0,,Y
871-NATURAL-190X190,0,0,,Y
871-NATURAL-230X160,0,0,,Y
871-NATURAL-280X190,0,0,,Y
871-NATURAL-300X80,0,0,,Y
871-NATURAL-320X230,0,0,,Y
871-PETROL-165X115,16,5,21/08/2018,
871-PETROL-225X155,9,17,21/08/2018,
871-PETROL-280X190,12,24,25/10/2018,
871-PETROL-300X80,25,19,25/10/2018,
871-PETROL-320X230,0,13,21/08/2018,
871-PETROL-400X80,13,17,25/10/2018,
871-PIST-165X115,6,20,21/08/2018,
871-PIST-225X155,0,20,21/08/2018,
871-PIST-280X190,3,5,21/08/2018,
871-PIST-300X80,2,11,21/08/2018,
871-PIST-320X230,0,4,21/08/2018,
871-PIST-400X80,0,7,21/08/2018,
871-RED-165X115,5,0,,
871-RED-225X155,14,7,25/10/2018,
871-RED-280X190,5,8,25/10/2018,
871-RED-300X80,7,8,25/10/2018,
871-RED-320X230,17,0,,
871-RED-400X80,0,8,25/10/2018,
871-RED-600X300,0,0,,
871-RUST-165X115,0,0,,
871-RUST-225X155,0,0,,
871-RUST-280X190,0,0,,
871-TAUPE-165X115,14,0,,
871-TAUPE-190X190,0,0,,
871-TAUPE-225X155,34,0,,
871-TAUPE-280X190,0,8,25/10/2018,
871-TAUPE-300X300,0,0,,
871-TAUPE-300X80,1,8,25/10/2018,
871-TAUPE-320X230,0,6,25/10/2018,
871-TAUPE-400X80,0,6,25/10/2018,
871-TAUPE-500X80,0,0,,
871-TAUPE-600X80,0,0,,
871-TAUPE-OLD-280X190,0,0,,
871-WHITE-170X120,0,0,,
871-WHITE-190X190,0,0,,
871-WHITE-225X155,0,0,,
871-WHITE-280X190,0,0,,
871-WHITE-290X200,0,0,,
871-WHITE-330X240,0,0,,
880-BEIGE-170X120,0,0,,
880-BEIGE-230X160,0,0,,
880-BEIGE-290X200,0,0,,
880-BLUE-170X120,0,0,,
880-BLUE-230X160,0,0,,
880-BLUE-290X200,0,0,,
880-GREEN-170X120,0,0,,
880-GREEN-230X160,0,0,,
880-GREEN-290X200,0,0,,
880-RED-170X120,0,0,,
880-RED-230X160,0,0,,
886-BEIGE-165X115,0,0,,
886-BEIGE-220X150,0,0,,
886-BEIGE-280X190,0,0,,
886-BEIGE-320X230,0,0,,
886-CHARCOAL-165X115,0,0,,
886-CHARCOAL-220X150,0,0,,
886-CHARCOAL-280X190,0,0,,
886-CHOCOLATE-165X115,0,0,,
886-CHOCOLATE-220X150,0,0,,
886-CHOCOLATE-280X190,0,0,,
886-CHOCOLATE-320X230,0,0,,
886-RED-165X115,0,0,,
886-RED-220X150,0,0,,
886-RED-280X190,0,0,,
886-TAUPE-165X115,0,0,,
886-TAUPE-220X150,0,0,,
886-TAUPE-280X190,0,0,,
886-TAUPE-320X230,0,0,,
886-WHITE-165X115,0,0,,
886-WHITE-220X150,0,0,,
886-WHITE-280X190,0,0,,
886-WHITE-320X230,0,0,,
907-BEIGE-165X115,0,0,,
907-BEIGE-225X155,0,0,,
907-BEIGE-280X190,0,0,,
907-BROWN-165X115,0,0,,
907-BROWN-225X155,0,0,,
907-BROWN-280X190,0,0,,
919-GREEN-170X120,0,0,,
919-GREEN-230X160,0,0,,
919-GREEN-290X200,0,0,,
919-GREY-170X120,0,0,,
919-GREY-230X160,0,0,,
919-GREY-290X200,0,0,,
919-LATTE-165X115,0,0,,
919-LATTE-200X200,0,0,,
919-LATTE-225X155,0,0,,
919-LATTE-280X190,0,0,,
919-LATTE-300X80,0,0,,
919-LATTE-320X230,0,0,,
982-BEIGE-165X115,0,0,,
982-BEIGE-225X155,0,0,,
982-BEIGE-280X190,0,0,,
982-BROWN-165X115,0,0,,
982-BROWN-225X155,0,0,,
982-BROWN-280X190,0,0,,
982-BROWN-320X230,0,0,,
982-CHOC-165X115,0,0,,
982-CHOC-225X155,0,0,,
982-CHOC-280X190,0,0,,
982-DKGREY-165X115,0,0,,
982-DKGREY-225X115,0,0,,
982-DKGREY-225X155,0,0,,
982-DKGREY-280X190,0,0,,
982-RED-165X115,0,0,,
982-RED-225X155,0,0,,
982-RED-280X190,0,0,,
982-RED-320X230,0,0,,
982-WHITE-165X115,0,0,,
982-WHITE-225X155,0,0,,
982-WHITE-280X190,0,0,,
988-BROWN-165X115,0,0,,
988-BROWN-190X190,0,0,,
988-BROWN-225X155,0,0,,
988-BROWN-280X190,0,0,,
